Date,Team,Acquired,Relinquished,Notes
15/04/2015,Blazers,,Chris Kaman,back injury (DTD)
15/04/2015,Blazers,,Nicolas Batum,sprained right knee (DTD)
15/04/2015,Blazers,LaMarcus Aldridge,,returned to lineup
15/04/2015,Bucks,,Jared Dudley,back spasms (DTD)
15/04/2015,Bucks,,Jerryd Bayless,sore neck (DTD)
15/04/2015,Celtics,,Jae Crowder,sore right ankle (DTD)
15/04/2015,Hawks,Pero Antic,,returned to lineup
15/04/2015,Heat,,Chris Andersen,undisclosed (DTD)
15/04/2015,Heat,,Dwyane Wade,undisclosed (DTD)
15/04/2015,Heat,,Goran Dragic,undisclosed (DTD)
15/04/2015,Heat,,Hassan Whiteside,undisclosed (out for season)
15/04/2015,Heat,,Luol Deng,undisclosed (DTD)
15/04/2015,Heat,,Mario Chalmers,undisclosed (DTD)
15/04/2015,Heat,Henry Walker,,returned to lineup
15/04/2015,Jazz,Derrick Favors,,returned to lineup
15/04/2015,Kings,,Omri Casspi,illness (out for season)
15/04/2015,Lakers,,Jordan Clarkson,sprained left ankle (DTD)
15/04/2015,Nuggets,,Kenneth Faried,undisclosed (out for season)
15/04/2015,Nuggets,,Randy Foye,undisclosed (out for season)
15/04/2015,Pelicans,Jrue Holiday,,returned to lineup
15/04/2015,Raptors,,Lou Williams,undisclosed (DTD)
15/04/2015,Raptors,DeMar DeRozan,,returned to lineup
15/04/2015,Timberwolves,,Chase Budinger,sprained left ankle (DTD)
15/04/2015,Timberwolves,Anthony Bennett,,returned to lineup
15/04/2015,Timberwolves,Kevin Martin,,returned to lineup
15/04/2015,Wizards,,Bradley Beal,rest (DNP)
15/04/2015,Wizards,,John Wall ,rest (DTD)
15/04/2015,Wizards,,Paul Pierce,rest (DTD)
17/04/2015,Hawks,,Thabo Sefolosha,surgery on right leg to repair fractured fibula and ligament damage (out for season)
18/04/2015,Bucks,Jared Dudley,,returned to lineup
18/04/2015,Bucks,Jerryd Bayless,,returned to lineup
18/04/2015,Mavericks,Chandler Parsons,,returned to lineup
18/04/2015,Rockets,,K.J. McDaniels,fractured right elbow (out for season)
18/04/2015,Suns,,Brandon Knight,arthroscopic surgery on left ankle (out indefinitely)
18/04/2015,Wizards,John Wall ,,returned to lineup
19/04/2015,Blazers,C.J. McCollum,,returned to lineup
19/04/2015,Blazers,Chris Kaman,,returned to lineup
19/04/2015,Blazers,Nicolas Batum,,returned to lineup
19/04/2015,Celtics,Jae Crowder,,returned to lineup
19/04/2015,Nets,,Cory Jefferson,undisclosed (out for season)
19/04/2015,Nets,,Darius Morris,illness (out for season)
19/04/2015,Nets,Alan Anderson,,returned to lineup
20/04/2015,Pelicans,,Jrue Holiday,stress reaction in lower right leg (DTD)
22/04/2015,Blazers,,Chris Kaman,left ankle injury (DTD)
22/04/2015,Hornets,,Cody Zeller,surgery on right shoulder to repair torn tendon (out indefinitely)
22/04/2015,Mavericks,,Rajon Rondo,back injury (out for season)
23/04/2015,Pelicans,Jrue Holiday,,returned to lineup
25/04/2015,Blazers,Chris Kaman,,returned to lineup
26/04/2015,Mavericks,,Bernard James,illness (out for season)
27/04/2015,Blazers,,Chris Kaman,sprained left ankle (out for season)
27/04/2015,Cavaliers,,Kevin Love,separated left shoulder (out for season)
28/04/2015,Mavericks,,Richard Jefferson,back injury (out for season)
29/04/2015,Cavaliers,,Kevin Love,surgery on left shoulder to repair separation (out for season)
01/05/2015,Mavericks,,Chandler Parsons,arthroscopic surgery on right knee to repair cartilage damage (out for season)
03/05/2015,Warriors,,Ognen Kuzmic,ankle injury (out for season)
04/05/2015,Clippers,,Chris Paul,strained hamstring (DTD)
06/05/2015,Pelicans,,Jrue Holiday,surgery on lower right leg to remove screw (DTD)
06/05/2015,Pelicans,,Quincy Pondexter,arthroscopic surgery on left knee (out indefinitely)
08/05/2015,Bulls,,Joakim Noah,fined $25K by NBA for pushing fan while walking to locker room
08/05/2015,Clippers,,Matt Barnes,"fined $50,000 by NBA for using inappropriate language during game"
18/05/2015,Blazers,,LaMarcus Aldridge,surgery on left thumb to repair torn ligament (out indefinitely)
22/05/2015,Cavaliers,,Kyrie Irving,left knee tendinitis (DTD)
23/05/2015,Hawks,,Kyle Korver,sprained right ankle (out for season)
23/05/2015,Raptors,,Terrence Ross,surgery on left ankle to remove bone spurs (out indefinitely)
26/05/2015,Cavaliers,Kyrie Irving,,returned to lineup
27/05/2015,Hawks,,Kyle Korver,surgery on right ankle to repair ligament damage (out indefinitely)
28/05/2015,Hawks,,Shelvin Mack,separated right shoulder (out for season)
02/06/2015,Kings,,Carl Landry,surgery on right wrist to repair torn ligament
04/06/2015,Hawks,,Shelvin Mack,surgery to repair separated right shoulder (out for season)
05/06/2015,Cavaliers,,Kyrie Irving,fractured left kneecap (out for season)
06/06/2015,Cavaliers,,Kyrie Irving,surgery on left knee to repair fractured kneecap (out indefinitely)
16/06/2015,Bulls,,Taj Gibson,surgery on left ankle (out for season)
23/06/2015,Heat,,Goran Dragic,player declined to exercise contract option
30/06/2015,Hawks,,Kyle Korver,surgery on right elbow to remove loose bodies (out indefinitely)
02/07/2015,Cavaliers,,Timofey Mozgov,arthroscopic surgery on right knee (out indefinitely)
09/07/2015,Heat,,Tyler Johnson,fractured jaw (out indefinitely)
11/07/2015,76ers,,Joel Embiid,surgery on right foot to undergo bone graft (out for season) (date approximate)
15/07/2015,Nets,,Thomas Robinson,arthroscopic surgery on right knee to remove torn cartilage (out indefinitely)
21/07/2015,Wizards,,Jared Dudley,surgery on lower back (out indefinitely)
06/08/2015,Jazz,,Dante Exum,torn ACL in left knee (out indefinitely)
19/08/2015,76ers,,Joel Embiid,surgery on right foot to have 2 screws replaced and a bone graft (out for season) (P)
20/08/2015,Warriors,,Kevon Looney,surgery on right hip to repair torn labrum (out indefinitely)
02/09/2015,,,Glen Davis,surgery on left ankle to repair torn ligaments (out indefinitely)
02/09/2015,Grizzlies,,Jarell Martin,fractured left foot (surgery) (out indefinitely)
03/09/2015,,,Landry Fields,surgery on hip to repair torn labrum (out indefinitely)
03/09/2015,Jazz,,Dante Exum,surgery on left knee to repair torn ACL (out indefinitely)
22/09/2015,Pistons,,Darrun Hilliard,surgery to repair fractured nose (out indefinitely)
25/09/2015,Bulls,,Mike Dunleavy Jr.,surgery on back (out indefinitely)
29/09/2015,Cavaliers,,Iman Shumpert,right wrist injury (surgery) (out indefinitely)
30/09/2015,Bulls,,Derrick Rose,surgery to repair fractured left orbital bone (out indefinitely)
01/10/2015,Warriors,,Steve Kerr,took leave of absence as head coach recovering from surgery on back (out indefinitely)
06/10/2015,Hornets,,Michael Kidd-Gilchrist,surgery on right shoulder to repair torn labrum (out indefinitely)
06/10/2015,Pelicans,,Alex Ajinca,strained right hamstring (out indefinitely)
08/10/2015,Pelicans,,Omer Asik,strained right calf (out indefinitely)
13/10/2015,Wizards,,Alan Anderson,surgery on left ankle to remove bone fragment (DTD)
15/10/2015,Nets,,Willie Reed,torn ligament in right thumb (surgery) (out indefinitely)
20/10/2015,Pelicans,,Tyreke Evans,arthroscopic surgery on right knee (out indefinitely)
26/10/2015,76ers,,Robert Covington,sprained MCL in right knee (DTD)
26/10/2015,Blazers,,Cliff Alexander,knee injury (DTD)
26/10/2015,Bucks,,Jabari Parker,sore left knee (DTD)
26/10/2015,Bucks,,O.J. Mayo,strained right hamstring (DTD)
26/10/2015,Knicks,,Arron Afflalo,strained left hamstring (DTD)
26/10/2015,Knicks,,Kevin Seraphin,sore right knee (DTD)
26/10/2015,Knicks,,Lou Amundson,back injury (DTD)
26/10/2015,Mavericks,,Chandler Parsons,recovering from arthroscopic surgery on right knee to repair cartilage damage (DTD)
26/10/2015,Nets,,Chris McCullough,knee injury (DTD)
26/10/2015,Nets,,Jarrett Jack,sore left hamstring (DTD)
26/10/2015,Nuggets,,Jusuf Nurkic,bruised knee (DTD)
26/10/2015,Rockets,,Donatas Motiejunas,recovering from surgery on back (DTD)
26/10/2015,Timberwolves,,Nikola Pekovic,recovering from surgery on right Achilles (DTD)
26/10/2015,Wizards,,Martell Webster,hip injury (out for season)
27/10/2015,Pelicans,,Jrue Holiday,recovering from surgery on lower right leg to remove screw / rest (DTD)
27/10/2015,Pelicans,,Luke Babbitt,sore/strained left hamstring (DTD)
27/10/2015,Pelicans,Alex Ajinca,,returned to lineup
28/10/2015,76ers,,Kendall Marshall,right knee injury (out indefinitely)
28/10/2015,76ers,,Nik Stauskas,back spasms (DTD)
28/10/2015,Hornets,,Jeremy Lamb,sprained right ankle (DTD)
28/10/2015,Nets,Thomas Robinson,,returned to lineup
28/10/2015,Pacers,,Myles Turner,sore right ankle (DTD)
28/10/2015,Pelicans,Jrue Holiday,,returned to lineup
28/10/2015,Warriors,,Andrew Bogut,concussion (DTD)
29/10/2015,Mavericks,,Deron Williams,sprained left knee (DTD)
29/10/2015,Mavericks,,Wes Matthews Jr.,rest (DTD)
29/10/2015,Pacers,Myles Turner,,returned to lineup
29/10/2015,Pistons,,Jodie Meeks,fractured right foot (out indefinitely)
30/10/2015,76ers,Nik Stauskas,,returned to lineup
30/10/2015,Bucks,,John Henson,sore left Achilles (DTD)
30/10/2015,Hornets,Jeremy Lamb,,returned to lineup
30/10/2015,Nets,Jarrett Jack,,returned to lineup
30/10/2015,Pistons,,Jodie Meeks,surgery on right foot to repair fracture (date approximate)
31/10/2015,Pacers,,Glenn Robinson III,shoulder injury (DTD)
31/10/2015,Pelicans,Luke Babbitt,,returned to lineup
31/10/2015,Pelicans,Omer Asik,,returned to lineup
01/11/2015,Mavericks,Deron Williams,,returned to lineup
01/11/2015,Mavericks,Wes Matthews Jr.,,returned to lineup
01/11/2015,Pelicans,,Kendrick Perkins,strained right pectoral muscle (DTD)
01/11/2015,Rockets,,Dwight Howard,rest (DTD)
01/11/2015,Rockets,,Terrence Jones,placed on IL with facial (eyelid) injury
02/11/2015,76ers,Robert Covington,,returned to lineup
02/11/2015,Knicks,Kevin Seraphin,,returned to lineup
02/11/2015,Rockets,,Chuck Hayes,foot injury (DTD)
02/11/2015,Rockets,Dwight Howard,,returned to lineup
03/11/2015,76ers,,Robert Covington,sprained MCL in right knee (DTD)
03/11/2015,Cavaliers,,J.R. Smith,bruised right knee (DTD)
03/11/2015,Hawks,,Mike Muscala,sore right ankle (DTD)
03/11/2015,Nuggets,,Joffrey Lauvergne,strained lower back (DTD)
03/11/2015,Nuggets,,Nikola Jokic,strained lower back (DTD)
03/11/2015,Pacers,,Ian Mahinmi,sore lower back (DTD)
03/11/2015,Pacers,Glenn Robinson III,,returned to lineup
03/11/2015,Pelicans,,Omer Asik,sprained right calf (DTD)
03/11/2015,Lakers,,Larry Nance Jr.,nose injury (DTD)
04/11/2015,Bucks,,Michael Carter-Williams,strained left ankle (DTD)
04/11/2015,Hawks,Mike Muscala,,returned to lineup
04/11/2015,Magic,,Nikola Vucevic,sprained right knee (DTD)
04/11/2015,Pacers,,C.J. Miles,sore right ankle (DTD)
04/11/2015,Rockets,,Patrick Beverley,concussion (DTD)
05/11/2015,Nuggets,Nikola Jokic,,returned to lineup
06/11/2015,Hawks,,Mike Muscala,ankle injury (DTD)
06/11/2015,Lakers,Larry Nance Jr.,,returned to lineup
06/11/2015,Pacers,Ian Mahinmi,,returned to lineup
06/11/2015,Rockets,,Dwight Howard,rest / back injury (DTD)
06/11/2015,Rockets,Chuck Hayes,,returned to lineup
06/11/2015,Wizards,,Drew Gooden,back injury (DTD)
06/11/2015,Pelicans,,Norris Cole ,sprained left ankle (DTD)
07/11/2015,Clippers,,Chris Paul,sore right groin (DTD)
07/11/2015,Hawks,Mike Muscala,,returned to lineup
07/11/2015,Kings,,Darren Collison,sore hamstring (DTD)
07/11/2015,Kings,,Seth Curry,sprained right ankle (DTD)
07/11/2015,Pacers,,Rodney Stuckey,ankle injury (DTD)
07/11/2015,Pelicans,,Jrue Holiday,lower right leg injury (DTD)
07/11/2015,Rockets,Dwight Howard,,returned to lineup
08/11/2015,Cavaliers,,Anderson Varejao,DNP
08/11/2015,Knicks,Lou Amundson,,returned to lineup
09/11/2015,76ers,,Nerlens Noel,sore left wrist (DTD)
09/11/2015,Bulls,,Joakim Noah,sore left knee (DTD)
09/11/2015,Clippers,Chris Paul,,returned to lineup
09/11/2015,Grizzlies,,Brandan Wright,sore right knee (DTD)
09/11/2015,Magic,,Jason Smith,sore left knee (DTD)
09/11/2015,Nets,,Brook Lopez,sore right foot (DTD)
09/11/2015,Nuggets,,Jameer Nelson,sprained back / SI joint (DTD)
09/11/2015,Pacers,,Rodney Stuckey,sore right ankle (DTD)
09/11/2015,Pacers,C.J. Miles,,returned to lineup
09/11/2015,Pacers,Rodney Stuckey,,returned to lineup
09/11/2015,Wizards,,Bradley Beal,sore left shoulder (DTD)
10/11/2015,Cavaliers,J.R. Smith,,returned to lineup
10/11/2015,Pelicans,Jrue Holiday,,returned to lineup
10/11/2015,Pelicans,Omer Asik,,returned to lineup
10/11/2015,Timberwolves,,Andrew Wiggins,sore right knee (DTD)
10/11/2015,Timberwolves,,Ricky Rubio,sore left knee (DTD)
10/11/2015,Wizards,,Nene Hilario ,sore back (DTD)
10/11/2015,Wizards,Drew Gooden,,returned to lineup
11/11/2015,76ers,,Richaun Holmes,strained right hamstring (DTD)
11/11/2015,Blazers,,Meyers Leonard,dislocated left shoulder (out indefinitely)
11/11/2015,Bucks,,Jabari Parker,rest (DTD)
11/11/2015,Grizzlies,,Jarell Martin,recovering from surgery on left foot to repair fracture (DTD) (P)
11/11/2015,Magic,,C.J. Watson,sore left calf (DTD)
11/11/2015,Pacers,,Rodney Stuckey,sprained right ankle (DTD)
11/11/2015,Pelicans,,Anthony Davis,strained right hip (DTD)
11/11/2015,Pelicans,,Jrue Holiday,lower right leg injury (DTD)
11/11/2015,Rockets,,Sam Dekker,sore back (DTD)
11/11/2015,Thunder,,Kevin Durant,strained left hamstring (DTD)
12/11/2015,Clippers,,Chris Paul,sore right groin (DTD)
12/11/2015,Clippers,,J.J. Redick,lower back spasms (DTD)
12/11/2015,Magic,,Victor Oladipo,concussion (DTD)
12/11/2015,Pacers,,Myles Turner,chip fracture in left thumb (out indefinitely)
12/11/2015,Timberwolves,Andrew Wiggins,,returned to lineup
13/11/2015,76ers,Nerlens Noel,,returned to lineup
13/11/2015,Bulls,Joakim Noah,,returned to lineup
13/11/2015,Kings,,Rudy Gay,gastroenteritis (DTD)
13/11/2015,Nuggets,Jameer Nelson,,returned to lineup
13/11/2015,Pelicans,Jrue Holiday,,returned to lineup
13/11/2015,Jazz,,Rudy Gobert,sprained left ankle (DTD)
13/11/2015,Magic,,Jason Smith,sore left knee (DTD)
14/11/2015,Grizzlies,,James Ennis,sore shoulder (DTD)
14/11/2015,Mavericks,,Wes Matthews Jr.,Achilles injury (DTD)
14/11/2015,Rockets,,Dwight Howard,back injury (DTD)
14/11/2015,Suns,,Markieff Morris,sprained left knee (DTD)
14/11/2015,Warriors,,Klay Thompson,sore back (DTD)
14/11/2015,Wizards,Nene Hilario ,,returned to lineup
15/11/2015,Jazz,Rudy Gobert,,returned to lineup
15/11/2015,Kings,Rudy Gay,,returned to lineup
15/11/2015,Pelicans,Anthony Davis,,returned to lineup
16/11/2015,76ers,,Phil Pressey,illness (DTD)
16/11/2015,76ers,Robert Covington,,returned to lineup
16/11/2015,Bucks,,Jabari Parker,sprained right foot (DTD)
16/11/2015,Bulls,,Derrick Rose,sprained left ankle (DTD)
16/11/2015,Hawks,,Kent Bazemore,sprained ankle (DTD)
16/11/2015,Pacers,,George Hill,upper respiratory infection (DTD)
16/11/2015,Pacers,,Myles Turner,surgery on left thumb to repair chip fracture and torn ligament (out indefinitely)
16/11/2015,Rockets,Dwight Howard,,returned to lineup
17/11/2015,Nuggets,,Darrell Arthur,illness (DTD)
17/11/2015,Nuggets,,Wilson Chandler,surgery on right hip to repair torn labrum (out for season)
17/11/2015,Pelicans,,Omer Asik,stomach illness (DTD)
17/11/2015,Warriors,Klay Thompson,,returned to lineup
18/11/2015,76ers,Phil Pressey,,returned to lineup
18/11/2015,Magic,Jason Smith,,returned to lineup
18/11/2015,Nuggets,Darrell Arthur,,returned to lineup
18/11/2015,Pelicans,,Anthony Davis,shoulder injury (DTD)
18/11/2015,Pelicans,,Jrue Holiday,DNP
18/11/2015,Raptors,,Terrence Ross,left thumb ligament injury (DTD)
18/11/2015,Suns,Markieff Morris,,returned to lineup
18/11/2015,Kings,Darren Collison,,returned to lineup
19/11/2015,Bulls,,Aaron Brooks,strained left hamstring (DTD)
19/11/2015,Cavaliers,,Mo Williams,right ankle inflammation (DTD)
19/11/2015,Cavaliers,,Timofey Mozgov,strained right shoulder (DTD)
19/11/2015,Clippers,Chris Paul,,returned to lineup
19/11/2015,Warriors,,Leandro Barbosa,virus (DTD)
20/11/2015,Clippers,,Pablo Prigioni,illness (DTD)
20/11/2015,Clippers,J.J. Redick,,returned to lineup
20/11/2015,Grizzlies,,Zach Randolph,sore right knee (DTD)
20/11/2015,Grizzlies,James Ennis,,returned to lineup
20/11/2015,Hornets,,Cody Zeller,sprained left ankle (DTD)
20/11/2015,Knicks,,Lou Amundson,head injury (DTD)
20/11/2015,Pelicans,Anthony Davis,,returned to lineup
20/11/2015,Pelicans,Omer Asik,,returned to lineup
20/11/2015,Raptors,Terrence Ross,,returned to lineup
20/11/2015,Warriors,Leandro Barbosa,,returned to lineup
20/11/2015,Wizards,,Martell Webster,surgery on right hip (out for season)
20/11/2015,Nuggets,,Joffrey Lauvergne,strained lower back (DTD)
21/11/2015,76ers,Richaun Holmes,,returned to lineup
21/11/2015,Celtics,,Marcus Smart,bruised left knee (DTD)
21/11/2015,Hawks,,Tiago Splitter,sore right hip (DTD)
21/11/2015,Knicks,Lou Amundson,,returned to lineup
21/11/2015,Nuggets,,Kenneth Faried,sprained left ankle (DTD)
21/11/2015,Pacers,Rodney Stuckey,,returned to lineup
21/11/2015,Raptors,,Jonas Valanciunas,fractured left hand (out indefinitely)
21/11/2015,Rockets,,Dwight Howard,rest (DTD)
21/11/2015,Wizards,Bradley Beal,,returned to lineup
22/11/2015,Nets,,Wayne Ellington,migraine headache (DTD)
23/11/2015,Heat,,Amar'e Stoudemire,illness (DTD) (Y)
23/11/2015,Heat,,Luol Deng,sore hamstring (DTD)
23/11/2015,Hornets,Cody Zeller,,returned to lineup
24/11/2015,Clippers,Pablo Prigioni,,returned to lineup
24/11/2015,Pacers,George Hill,,returned to lineup
25/11/2015,76ers,,Nik Stauskas,bruised left knee (DTD)
25/11/2015,Cavaliers,,Matthew Dellavedova,left calf tightness (DTD)
25/11/2015,Cavaliers,Mo Williams,,returned to lineup
25/11/2015,Kings,,DeMarcus Cousins,sore back (DTD)
25/11/2015,Nets,Wayne Ellington,,returned to lineup
25/11/2015,Pistons,,Spencer Dinwiddie,sore left knee (DTD)
25/11/2015,Rockets,Dwight Howard,,returned to lineup
25/11/2015,Thunder,,Mitch McGary,sore ankle (DTD)
27/11/2015,76ers,,Nerlens Noel,sore right knee (DTD)
27/11/2015,76ers,Nik Stauskas,,returned to lineup
27/11/2015,Blazers,,Chris Kaman,sore ankle (DTD)
27/11/2015,Cavaliers,Matthew Dellavedova,,returned to lineup
27/11/2015,Cavaliers,Timofey Mozgov,,returned to lineup
27/11/2015,Heat,,Chris Andersen,illness (DTD)
27/11/2015,Mavericks,,Jose Barea ,sprained right ankle (DTD)
27/11/2015,Pacers,,Jordan Hill,sore lower back (DTD)
27/11/2015,Pacers,,Myles Turner,recovering from surgery on left thumb to repair chip fracture and torn ligament (out indefinitely)
27/11/2015,Pistons,Spencer Dinwiddie,,returned to lineup
27/11/2015,Timberwolves,,Ricky Rubio,ankle injury (DTD)
28/11/2015,Nuggets,,Gary Harris,concussion (DTD)
28/11/2015,Wizards,,Drew Gooden,strained right calf (DTD)
28/11/2015,Wizards,,Gary Neal,strained left groin (DTD)
29/11/2015,Grizzlies,Zach Randolph,,returned to lineup
29/11/2015,Knicks,,Carmelo Anthony,illness (DTD)
29/11/2015,Pacers,Jordan Hill,,returned to lineup
30/11/2015,Bulls,,Kirk Hinrich,left hip pointer (DTD)
30/11/2015,Heat,Chris Andersen,,returned to lineup
30/11/2015,Hornets,,Al Jefferson,strained left calf (out indefinitely)
30/11/2015,Nets,,Andrea Bargnani,sore hamstring
30/11/2015,Pacers,,Shayne Whittington,sore ribs (DTD) (Y)
01/12/2015,76ers,Nerlens Noel,,returned to lineup
01/12/2015,Mavericks,,Chandler Parsons,rest (DNP)
01/12/2015,Pelicans,Norris Cole ,,returned to lineup
02/12/2015,Bulls,Aaron Brooks,,returned to lineup
02/12/2015,Jazz,,Rudy Gobert,sprained MCL in left knee (out indefinitely)
02/12/2015,Knicks,Carmelo Anthony,,returned to lineup
02/12/2015,Pelicans,,Jrue Holiday,DNP
02/12/2015,Wizards,Gary Neal,,returned to lineup
03/12/2015,Clippers,,J.J. Redick,sprained right ankle (DTD)
03/12/2015,Kings,,Willie Cauley-Stein,dislocated right index finger (out indefinitely)
03/12/2015,Nuggets,,Kenneth Faried,ankle injury (DTD)
03/12/2015,Pistons,,Aron Baynes,surgery to repair fractured nose (did not miss any games)
04/12/2015,Bucks,,Tyler Ennis,sore left shoulder (DTD)
04/12/2015,Rockets,,Dwight Howard,rest (DTD)
04/12/2015,Wizards,,Kris Humphries,sprained left ankle (DTD)
05/12/2015,Bulls,,Aaron Brooks,strained left hamstring (DTD)
05/12/2015,Bulls,Kirk Hinrich,,returned to lineup
05/12/2015,Cavaliers,,LeBron James,rest (DTD)
05/12/2015,Celtics,,David Lee,bruised right heel (DTD)
05/12/2015,Nuggets,Kenneth Faried,,returned to lineup
05/12/2015,Rockets,Dwight Howard,,returned to lineup
05/12/2015,Warriors,,Andrew Bogut,back spasms (DTD)
06/12/2015,Grizzlies,,Brandan Wright,sore right knee (DTD)
